               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 145,             0.55472,             0.78186,              1.2108,           0.0025999,            0.018093,             0.00425,           0.0010021,                   0,                   0,                   0,            0.007408,            0.007408,            0.007408
                 146,              0.4882,             0.68662,              1.1729,           0.0025962,             0.01769,           0.0043287,          0.00083046,                   0,                   0,                   0,             0.00739,             0.00739,             0.00739
                 147,             0.53846,             0.78693,              1.2052,           0.0022461,            0.019318,           0.0059737,           0.0013953,                   0,                   0,                   0,            0.007372,            0.007372,            0.007372
                 148,             0.52318,             0.71908,              1.1807,           0.0030558,            0.020026,           0.0024286,          0.00061609,                   0,                   0,                   0,            0.007354,            0.007354,            0.007354
                 149,             0.49019,             0.70379,              1.1709,           0.0045816,            0.023176,           0.0073149,           0.0017244,                   0,                   0,                   0,            0.007336,            0.007336,            0.007336
                 150,             0.48101,             0.69694,              1.1562,           0.0045126,            0.015975,           0.0031648,          0.00081285,                   0,                   0,                   0,            0.007318,            0.007318,            0.007318
                 151,             0.51661,              0.7412,              1.1827,           0.0055627,            0.024286,           0.0057299,          0.00094791,                   0,                   0,                   0,              0.0073,              0.0073,              0.0073
                 152,             0.53559,             0.76156,              1.1967,           0.0029089,            0.023442,           0.0028346,           0.0005631,                   0,                   0,                   0,            0.007282,            0.007282,            0.007282
                 153,             0.47861,               0.668,              1.1495,           0.0032648,            0.019671,           0.0037492,          0.00072832,                   0,                   0,                   0,            0.007264,            0.007264,            0.007264
                 154,             0.52333,             0.74709,              1.1862,           0.0026941,            0.020517,            0.003016,          0.00063545,                   0,                   0,                   0,            0.007246,            0.007246,            0.007246
                 155,             0.50934,              0.7305,              1.1709,           0.0066945,            0.023543,           0.0046262,          0.00095158,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 156,             0.48151,              0.6657,              1.1558,           0.0044624,            0.024149,           0.0033886,          0.00065598,                   0,                   0,                   0,             0.00721,             0.00721,             0.00721
                 157,             0.45601,             0.65179,              1.1301,           0.0042363,              0.0243,           0.0036851,          0.00081425,                   0,                   0,                   0,            0.007192,            0.007192,            0.007192
                 158,             0.46269,               0.677,              1.1425,           0.0044829,            0.022046,           0.0035276,          0.00079334,                   0,                   0,                   0,            0.007174,            0.007174,            0.007174
                 159,             0.49387,             0.68572,              1.1631,           0.0025358,            0.020668,           0.0020757,          0.00058268,                   0,                   0,                   0,            0.007156,            0.007156,            0.007156
                 160,             0.44855,             0.63134,              1.1215,           0.0027827,            0.022319,           0.0042165,          0.00076408,                   0,                   0,                   0,            0.007138,            0.007138,            0.007138
                 161,             0.43483,             0.61838,              1.1174,            0.003551,            0.023176,            0.007008,           0.0014736,                   0,                   0,                   0,             0.00712,             0.00712,             0.00712
                 162,              0.4266,             0.61482,              1.1165,           0.0069255,            0.023782,           0.0087416,           0.0015072,                   0,                   0,                   0,            0.007102,            0.007102,            0.007102
                 163,             0.46937,             0.67114,              1.1453,           0.0040642,            0.016883,           0.0046357,           0.0007802,                   0,                   0,                   0,            0.007084,            0.007084,            0.007084
                 164,             0.45546,              0.6413,                1.12,           0.0044756,            0.019923,           0.0054772,          0.00082362,                   0,                   0,                   0,            0.007066,            0.007066,            0.007066
                 165,             0.44431,              0.6283,              1.1159,           0.0058624,            0.023555,           0.0080152,           0.0017763,                   0,                   0,                   0,            0.007048,            0.007048,            0.007048
                 166,             0.45275,             0.64531,              1.1291,            0.004412,            0.017639,           0.0070762,           0.0011044,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 167,             0.44665,               0.614,              1.1209,            0.004381,            0.016594,           0.0068183,            0.001031,                   0,                   0,                   0,            0.007012,            0.007012,            0.007012
                 168,             0.42854,             0.60043,              1.1105,           0.0043369,            0.020125,           0.0046495,          0.00099587,                   0,                   0,                   0,            0.006994,            0.006994,            0.006994
